"GEOID","state","total_population","B27010_001M","uninsured","B27010_002M","privately_insured","B27010_003M","publicly_insured","B27010_004M","year","uninsured_rate","private_insurance_rate","public_insurance_rate"
"72","Puerto Rico",3502814,243,766742,98,709654,2066,192783,3952,2016,21.8893152762322,20.2595399013479,5.50366077102581
"01","Alabama",4761291,732,1103328,468,997904,3513,472206,5674,2016,23.1728747518268,20.9586853649567,9.91760428001565
"02","Alaska",712964,791,187160,157,148873,1766,73229,2113,2016,26.2509748037769,20.8808579395313,10.2710655797488
"04","Arizona",6620233,859,1617449,248,1366506,4446,687863,7459,2016,24.4319044359919,20.6413580911729,10.3903140569222
"05","Arkansas",2915402,431,704893,518,633701,2418,257570,3610,2016,24.1782436864625,21.7363162953171,8.83480219880483
"06","California",38151997,2141,9124984,668,8182056,8903,3984618,19865,2016,23.9174478861487,21.4459442319625,10.4440614209526
"08","Colorado",5267878,1106,1244121,397,1102259,3344,599510,5962,2016,23.6171186956114,20.9241557985967,11.3804837545592
"10","Delaware",920268,365,203785,92,181990,1518,104872,2164,2016,22.1440928077473,19.7757609739771,11.3958107855538
"11","District of Columbia",648263,241,114429,112,103523,825,45861,1254,2016,17.6516321307864,15.9692902417692,7.07444355145982
"09","Connecticut",3535139,480,772622,240,707284,2555,437015,4167,2016,21.8554913965193,20.0072472397832,12.3620315919685
"12","Florida",19621207,1970,4057377,600,3518569,6083,1541362,12134,2016,20.6785291037396,17.9324798928017,7.85559216617
"13","Georgia",9907239,1396,2491487,930,2179632,5667,1049347,8042,2016,25.1481467238249,22.0003978908756,10.591719852524
"16","Idaho",1614714,444,430564,347,373022,2239,196254,3642,2016,26.6650317022086,23.1014284882648,12.1541028318328
"15","Hawaii",1362574,961,307928,78,271889,1602,140331,2187,2016,22.5989927886485,19.9540722191969,10.2989635792258
"17","Illinois",12671738,632,2986832,660,2754501,4269,1515246,9503,2016,23.5708156213457,21.7373575747857,11.9576809432139
"18","Indiana",6490256,393,1578190,742,1387488,3983,827421,7174,2016,24.3162981552654,21.3780165219985,12.748665075769
"19","Iowa",3062954,311,725346,616,640881,2731,387282,3416,2016,23.6812567214526,20.9236247100022,12.6440684385074
"20","Kansas",2839352,689,719881,479,636175,2672,366458,3977,2016,25.3537074656471,22.4056404419036,12.906395543772
"21","Kentucky",4327357,659,1011764,658,905987,2782,460943,5445,2016,23.3806455071768,20.9362666403535,10.6518366753656
"22","Louisiana",4542312,798,1112325,558,996550,3226,424658,5113,2016,24.4880800790434,21.9392679322777,9.34893948280083
"23","Maine",1315603,288,259038,238,225800,1528,127050,2146,2016,19.6896784212259,17.1632323732919,9.65716861393597
"24","Maryland",5864892,943,1346280,216,1218683,3308,724121,5833,2016,22.9548984022212,20.779291417472,12.3467064696161
"25","Massachusetts",6665525,586,1387121,372,1275275,2833,821922,5878,2016,20.8103787773656,19.1324014237438,12.3309416737616
"26","Michigan",9798384,402,2224049,396,2000767,4306,1140693,7559,2016,22.6981204247558,20.4193569062,11.6416441731616
"27","Minnesota",5392571,304,1279886,353,1147867,2951,761133,4972,2016,23.7342447600597,21.2860804243468,14.1144734116621
"28","Mississippi",2921628,656,768333,1441,686007,2474,267094,4414,2017,26.2981118746124,23.480299339957,9.14195783994403
"29","Missouri",5961514,642,1464928,1805,1307556,3939,759746,6159,2017,24.5730866353748,21.9332874165858,12.744178743856
"30","Montana",1014596,311,238936,721,208110,1500,104382,2005,2017,23.5498661536217,20.5116125038932,10.2880358290393
"31","Nebraska",1865028,461,494959,896,439967,1867,267360,3299,2017,26.5389581282426,23.5903696888197,14.3354416126728
"32","Nevada",2852693,555,703704,930,595276,3100,343085,4329,2017,24.6680592689084,20.8671595576531,12.0267059932492
"33","New Hampshire",1314875,255,283202,671,261955,1390,175692,2332,2017,21.5383211331876,19.9224260861299,13.3618785055614
"34","New Jersey",8854377,514,2111082,1681,1929653,5154,1233319,6693,2017,23.8422420911149,21.7932102958797,13.9289189967854
"35","New Mexico",2050101,554,526001,1110,459026,2528,167662,3702,2017,25.6573212734397,22.3904090578952,8.17823121885214
"01","Alabama",4770692,802,1170330,1492,1060746,3519,505920,6016,2017,24.53166123489,22.2346359815306,10.6047508411778
"02","Alaska",714038,670,195335,519,156752,1468,76414,2090,2017,27.3563871950793,21.9528932633837,10.7016713396206
"04","Arizona",6701990,926,1717624,2033,1462142,6032,749068,7375,2017,25.6285670375515,21.8165350888318,11.1767997266484
"05","Arkansas",2924569,443,744956,1379,666759,2783,274518,4449,2017,25.4723345559636,22.7985388616237,9.38661389079895
"06","California",38488069,2222,9637773,4049,8691191,9663,4248385,21231,2017,25.0409367121016,22.5815200029911,11.0381869248883
"36","New York",19556260,882,4458103,2897,4011221,7001,2148972,12376,2017,22.7962964288673,20.5111866992973,10.9886655219352
"37","North Carolina",9845238,1883,2426124,2077,2181095,5156,995778,8734,2017,24.642614023145,22.1538067439304,10.1143111014685
"38","North Dakota",729279,458,180510,610,153153,1462,102310,1785,2017,24.7518439444986,21.0006047068406,14.0289244582663
"39","Ohio",11436638,613,2781570,2201,2486753,5685,1478945,11370,2017,24.3215707273414,21.7437414736743,12.9316412742976
"40","Oklahoma",3816369,773,1007990,1106,859570,3270,397177,4284,2017,26.4122782676413,22.5232413322716,10.4071959498675
"41","Oregon",3985781,364,913072,1132,814050,3277,431999,5111,2017,22.9082330414039,20.4238516867836,10.8385031691405
"42","Pennsylvania",12586845,441,2863925,2062,2529507,5128,1511829,9494,2017,22.7533190406333,20.0964340150371,12.0111831042648
"44","Rhode Island",1040523,243,227297,632,202466,1314,117657,2414,2017,21.8444955085087,19.4580994365334,11.307486715815
"45","South Carolina",4795304,997,1152936,1535,1029194,3478,486606,5634,2017,24.0430220899447,21.4625391841685,10.1475526890475
"46","South Dakota",838027,300,220991,603,191990,1338,104618,1990,2017,26.3703914074368,22.9097630505938,12.4838459858692
"47","Tennessee",6494451,952,1579884,1428,1410438,4213,704184,7717,2017,24.3266751877872,21.7175862902037,10.842856463156
"48","Texas",26943687,1773,7601534,3985,6458987,10242,3155221,19735,2017,28.2126718589033,23.9721720342134,11.7104277525195
"50","Vermont",618703,102,129422,467,117196,896,59086,1394,2017,20.9182758124658,18.9422065191215,9.5499779377181
"49","Utah",2967868,384,958102,1077,835301,3687,589905,5557,2017,32.2825004346554,28.144816413668,19.8763893811989
"51","Virginia",8153221,2044,1980712,1950,1750648,4681,1032825,7548,2017,24.2936135301619,21.4718575640229,12.6676929277398
"53","Washington",7063032,1275,1704307,1602,1520620,5005,811442,7961,2017,24.1299628827959,21.5292809093885,11.4885788426274
"54","West Virginia",1807983,234,398314,947,360140,1710,181630,3079,2017,22.0308487413875,19.9194350831839,10.0460015387313
"55","Wisconsin",5691138,281,1375107,1276,1227695,3284,789515,5420,2017,24.1622501510243,21.5720476291385,13.8727087622897
"56","Wyoming",573470,313,145483,678,125938,1361,81957,1699,2017,25.3688946239559,21.9606954156277,14.2914189059585
"72","Puerto Rico",3442193,298,780493,1138,726041,2523,197270,3579,2017,22.6742951368503,21.0923966204103,5.73093954929314
"10","Delaware",929139,343,217408,620,193420,1746,114548,2360,2017,23.3988671232184,20.817122088299,12.3284029623124
"11","District of Columbia",661858,300,127858,679,116137,1411,51659,1562,2017,19.318041029949,17.5471173574996,7.805148536393
"09","Connecticut",3541763,553,815413,1127,745766,2965,458033,4921,2017,23.0227996622021,21.0563496202315,12.9323447108121
"12","Florida",19967931,1615,4350247,2545,3787288,7606,1665682,13553,2017,21.7861680311295,18.9668523994799,8.34178563617833
"13","Georgia",10012994,1714,2644548,2509,2309550,6351,1136434,10776,2017,26.4111613369588,23.0655286520695,11.3495923397138
"16","Idaho",1636345,467,458668,952,401237,2229,211764,3908,2017,28.0300303420122,24.5203181480678,12.9412807201415
"15","Hawaii",1369366,1086,322229,594,283166,1702,149714,2591,2017,23.5312546097975,20.6786206171323,10.9330887432578
"17","Illinois",12674162,600,3129566,2118,2886107,5203,1613470,9188,2017,24.6924885448048,22.7715804800349,12.73038801303
"18","Indiana",6515358,398,1671214,1755,1471153,4255,883217,8320,2017,25.6503786898586,22.5797722857286,13.5559243252635
"19","Iowa",3074216,290,772285,1240,685925,2631,417682,4680,2017,25.1213642762903,22.3121927671966,13.5866185069624
"20","Kansas",2843739,733,757801,1105,668999,3087,390852,4992,2017,26.64805033092,23.5253305595204,13.7442993186084
"21","Kentucky",4340343,628,1070560,1441,959124,3036,489614,5838,2017,24.6653317491267,22.0978848906642,11.2805370451137
"22","Louisiana",4559572,724,1171609,1645,1053637,3553,457995,5895,2017,25.6955916037733,23.1082434930296,10.0446927913409
"23","Maine",1315654,297,273919,689,239387,1700,139053,2787,2017,20.819987625926,18.1952853865834,10.5691161962036
"24","Maryland",5901303,1133,1423524,1348,1287149,4176,767733,6141,2017,24.1221980976066,21.8112677827253,13.0095506026381
"25","Massachusetts",6713702,513,1486528,1450,1363752,3500,871231,6549,2017,22.1417036383206,20.3129659314637,12.9769090138347
"26","Michigan",9814714,382,2346330,1819,2113662,4551,1225034,8218,2017,23.9062493313611,21.5356453585912,12.481606697862
"27","Minnesota",5432792,305,1360411,1149,1223566,2651,808104,5302,2017,25.0407341197675,22.5218635279981,14.874561735476
"08","Colorado",5344703,1139,1321888,1515,1177962,3959,638498,5903,2017,24.7326745751822,22.0398027729511,11.9463700789361
"28","Mississippi",2922647,753,763739,1547,685919,3434,269631,4150,2018,26.1317565891468,23.46910181079,9.22557530895794
"29","Missouri",5976738,701,1459999,1630,1304942,4247,760911,5685,2018,24.428024116165,21.8336825204652,12.7312088968933
"30","Montana",1026586,313,240210,782,211077,1745,105078,2598,2018,23.3989164083671,20.5610635640852,10.2356743614271
"31","Nebraska",1875468,414,497476,818,442595,2164,270719,3224,2018,26.52543258536,23.5991763122591,14.4347437546255
